media,bias,youtube_channel,viewCount,subscribersCount,videoCount
whatdoesitmean,conspiracy,UCvb_jPDREv61VzVIREdZODw,11831,176,29
what really happened,conspiracy,UC1CtXVx2Q-tpb9pr24SQbwA,11931497,23946,3933
wikispooks,conspiracy,UCv_5gv-_pCUsQ0nd4r24wMA,7045,17,3
world truth tv,conspiracy,UCklT3a3SzuhNFgOdwK8fZXQ,293,18,26
x22 report,conspiracy,UCB1o7_gbFp2PLsamWxFenBg,64051401,190604,2390
your news wire,conspiracy,UC2RukiMhLjkaVurjnFW3pvQ,1265308,3018,17
zero hedge,conspiracy,UCaO9gH0HOmvXjZg_tMG0lLQ,2756530,12726,151
act.tv,left,UC7yoXZ7c8ZZAimgcqHBtHoQ,345512,1259,664
addicting info,left,UCGOs0OI4ezm8oeLVVnGOUKA,83,0,1
advocate,left,UCyoWeR3FrNb8p2WIAqYmAUw,397929,2641,98
akkadian times,left,UCv3EOe-SVWSRe8JbYaF7WdQ,3714,133,17
all that’s fab,left,UCvw9u1dTYu3W1qzJI0Am53Q,28018,92,230
alternet,left,UC84q_yw9hTV5rUa0wL_u4Vw,5496,390,4
americablog,left,UC4g3YdCpDUboAowRpxzFpLA,60,0,2
american bridge 21st century,left,UCvubOhuUIhYoYnRyXHtcygQ,4178444,1973,1129
american news x,left,UCYwWn43uiykoZ-Px01tThNg,40587,26,40
americans united for separation of church and state,left,UCNDjNQIpqB18liKV2MmaIFw,142,0,11
autostraddle,left,UCxkR6LOu5QV7Ua9-UJIKBBg,749946,2167,26
backed by fact,left,UCuddXW42lAoCmZ-wZYkc8Og,1415,62,5
baltimore city paper,left,UCOnZ7LmieYKwoDYZwRL76xA,61831,107,79
bay area reporter,left,UCUPD9lOncbnnPC9Mc-cMfWw,51,0,1
bitch media,left,UCFdJR3ZSJcZ7RGWdSYHt4ag,204717,1035,42
black agenda report,left,UC-GI2itVqKS9gLMOVf-4Eng,16464,331,10
blue dot daily,left,UC6uKrU_WqJ1R2HMTY3LIx5Q,7550839,130391,107
blue nation review,left,UCjgMTEy04tNrWLgo0ifSsdw,36535,211,10
boing boing,left,UCPCj6sodgPDq5vaAqNB7iWA,4421934,59634,85
bust magazine,left,UCy0Yde5Coq3Ca4WrPPMZxBA,213281,607,26
canadian dimension,left,UCg2Yv-mukdo17IcbqZIcRqA,457,0,1
carbonated tv,left,UC5zlAAz2IxGSetD21mHy6sw,6528416,6298,1785
center for american progress,left,UC0COu43Li7CUL2jseBpH9kQ,3855017,5650,1224
center for media and democracy (pr watch),left,UC3Qs31jxhhi0tOMhSEpe3WQ,483615,1255,70
certified politics,left,UC5BLTsCl39cxC-ygBni_htA,51,0,2
change.org,left,UCy8352SHLMMjC_jLYuYYw7A,1522710,3742,96
chicago reader,left,UCSAEKsuh_gwX_MmpRjLhdMw,3484870,2584,532
chronicles of democracy,left,UCxcBAPpicKDkKtT5o6IQ9QA,943,0,1
citizen critics,left,UCWCw2Sd7RlYJ2yuNVHDWNOA,294430566,691599,2064
cnn,left,UCupvZG-5ko_eiXAupbDfxWw,3336995287,4246614,141852
code pink,left,UCSTEGsYwuvPpwjtIufg7gzA,2429648,3209,479
content news,left,UCewIHE_qTt39EcXLrSk6nwg,14368469,45175,1381
cosmopolitan,left,UC4LADtN8xwppFydHUB1s5uA,221569846,694299,2299
countercurrents.org,left,UC94FYUJYBqq4CHPhfJUCxDw,202004,4951,79
counterpunch,left,UCIZENnrC20gq0rhJ-jKpCSA,2440067,7181,538
crimethinc,left,UCH9VbQUhFVjTyUZhZqDVlDw,4726,598,7
crooked media,left,UCKRoXz3hHAu2XL_k3Ef4vJQ,758455,19746,110
curve magazine,left,UC5SfJd4eEr7e3S2WfhtWfIw,60060,1305,16
daily 49er,left,UCas0pAfnq618PsfXv8BsoTQ,283157,370,893
daily beast,left,UC7qZ_e097NBkgOljy1joVRA,18368146,22825,1628
daily dot,left,UCPky_U7C3p6Y7qMoLCsTA-w,11310703,32222,156
daily kos,left,UC1Z1i5ClfrJhyu9z1hlmDkQ,10081403,8289,710
daily mirror,left,UCJruLt_Bj36jL-kVaw2jgTg,14982590,18738,4281
daily news bin,left,UCoMdktPbSTixAyNGwb-UYkQ,312007613,801908,9240
daily record (scotland),left,UC6B3kmCZJc7YMG-948t6M7w,17804144,5548,1006
dallas voice,left,UCzLKquBnVnmwE8LBYSQTK3w,43538,97,94
deadspin,left,UCFsh2bHIGqgRVZnZX8xhI0Q,4556799,4807,194
deathandtaxes,left,UCMjlfF6WlohRsUqXS86-h8g,98487,32,16
democracy chronicles,left,UCxcBAPpicKDkKtT5o6IQ9QA,943,0,1
democracy now,left,UCzuqE7-t13O4NIDYJfakrhw,109874730,389321,9140
democratic underground,left,UCBmLjiIp3KQls0ik7W_2dqA,5945254,21692,170
desmogblog,left,UC27KdqL8GCxqXgurmGpkb7g,170092,226,159
die hard democrat,left,UCnbyQadJnvboWpvBPVp8uYQ,60,6,1
dissent magazine,left,UCrcfm_R39ru3obmkQY9eGdg,880,29,2
drudge retort,left,UCKepI1EA_X7Tn3aiF18mBxw,1249700,835,285
earth first! journal,left,UCj-rZcEwT0HjATNq-kx_nsg,8594,34,3
economy in crisis,left,UCEeKuhtm4hmPZD3yDMrQI2g,420403,1114,543
egbertowillies.com,left,UCcgg5oVHV3ktWzbkbc52urQ,8469386,0,1632
electronic intifada,left,UC9jY5IcAA99wX8MZQ9K9r-Q,1166091,0,116
elisabeth parker,left,UCMPrUJJvGUTOxsqhGjPO9DA,122,17,13
elite daily,left,UCqLj_VGACwmDa0FZ4UV3j-w,161873658,424249,728
esquire magazine,left,UCLPVHOw25Eu8CCKTxL5TgCA,41160176,48003,765
everyday feminism,left,UCVF8SAGEQnBA-yKM4iQNqfw,4780673,56902,158
evonomics,left,UCGm0PSbLGCQgqORrMEwTW1A,0,120,0
feministing,left,UCLsugInZe6elmRlM5AJ_O-g,830887,4918,97
fifth estate,left,UCa-bX3gZC3YnCThlGM5d38Q,19168022,128584,215
filming cops,left,UCsRIXg6tVFYVKek2UphIXjw,1599261,2470,19
first post,left,UCLnuTrdp3MBzo9ZPig5szbQ,21840281,75641,1340
foreign policy journal,left,UCUfu_TleffkvkK4t8MPpZWQ,119614,134,8
foreign policy news,left,UCL_A4jkwvKuMyToAPy3FQKQ,13472336,69539,2072
forward progressives,left,UCtfPj_OkbbFcTgQsT5I9C6g,42590,983,11
free press,leftcenter,UCiKzR-h1jN6lJWtUYzTBJmw,3738079,58619,48
free rein news,left,UCBQvAwSfYzQmwJxs9wtifiQ,297286,2106,7
freedom news and journal,left,UC4a9ZaB_L8WbS17LbXze0lA,66588,0,4
fstv (freespeech.org),left,UCv1RrKT8zaa5J1ueqCmMfsw,3592028,21201,4568
gizmodo,left,UCxFmw3IUMDUC1Hh7qDjtjZQ,25458974,47905,415
global voices,left,UCJYtYkiGldqX6Ne938j-k2g,570790138,2416550,183
globe today,left,UCmkgtT-GEve21tOzxqxYDUw,91,0,2
good magazine,left,UCeHHAF22PljrnnjskZeljmg,28127274,110345,350
gq magazine,left,UCsEukrAd64fqA7FjwkmZ_Dw,775844548,2398685,2128
green left weekly,left,UC8W1PDkZhEDTV9H31hwJQqQ,854970,3001,556
greenville gazette,left,UCwDilW3qCo6sMnZ_o5cSMSQ,885927,38,23
groopspeak,left,UCA2onPJl3ed8pAU-ajHbv9g,10240,401,18
guardian liberty voice,left,UCb-Gt_KLGeApqvPSZDnrf5A,62514,18,11
guardians of democracy,left,UCOzT3fyPN7uTGUIha0YIl_g,5228,5,17
happy foxie,left,UChg6bYBpG0yGvF7MGGVUMzg,19023,276,71
huffington post (huffpost),left,UCZfsrIV68Oegr5bJgAMLBDA,300977661,459267,1940
in defence of marxism,left,UCtO2zDQt-AhF6SwYbXDdFKA,475215,6345,170
independent reporter (ir.net),left,UC1yBKRuGpC1tSM73A0ZjYjQ,4294839709,4013547,33411
inequality media,left,UCuDv5p8E-evaRSh542hDV5g,2966007,34595,145
institute for policy studies,left,UCpO2gT9O_4bjfA1DC56Krwg,214627,890,289
international viewpoint,left,UCjFI1Zqz7QGfGsAJ8wkcWlQ,213065,1276,17
in these times,left,UCi4_xzMqGO8mAgnu6L0mlnA,3737,16,1
intrepid report,left,UC0xGL3FrcaOy0m2t0BFsADw,3103,24,114
iowa starting line,left,UC4r1W7zRWDalyStkQN0kCEQ,356009,30,37
jacobin,left,UC0DO2SZtizpDAbx--qViIFg,600120,33105,10
jezebel,left,UCI4iIRZltBUQITyvCXz_PZg,1802835,3639,168
latest.com,left,UC7OvqC8k1ULziCqHyOpIHMg,35147,377,1
lavender magazine,left,UCLJ5DNZ3EYe8EPzrP2LYdpg,2529,33,12
left action,left,UCTLW44Pvzr-PRQFlH3kfh7w,1135,0,1
left foot forward,left,UCU--KykivXlV1DhucdiBdEA,493,20,2
left side of history,left,UCCIAZStoLS7PasUdoueR64A,4617,295,5
left voice,left,UClUHLX_Rd-SNOl8Ws2C_EJQ,37594,369,153
left wing nation,left,UCHqC-yWZ1kri4YzwRSt6RGQ,62791272,300834,2060
