media,bias,youtube_channel,viewCount,subscribersCount,videoCount
mediafile,leftcenter,UCpyDlbwec2UzGzu4JAHtDyw,8734,41,53
metro,leftcenter,UCgCkZRxAzC5THzTr8Hz4fkg,3649689,6744,786
metro uk,leftcenter,UCgCkZRxAzC5THzTr8Hz4fkg,3649689,6744,786
mexico daily news,leftcenter,UCOtE1h8PM8JWL4cj02ARYYw,3102516,13210,3017
miami herald,leftcenter,UC7Ij5ZCf2E9GmZ86cIw3vVg,52007755,32257,3302
mic,leftcenter,UCgpEN1mWQxivlZ9O6GuZbOw,18001447,53776,486
migration policy institute,leftcenter,UCdtJ56R55sCQFGfZ7Q7mQJg,66776,289,182
milwaukee journal-sentinel,leftcenter,UCx3OuVURpwh-UYamOrw-b4A,31510029,18596,7551
minneapolis star tribune,leftcenter,UCSIQFtNDNgHZJp3wTH0NpqA,18,1,1
minnesota public radio (mpr),leftcenter,UCW6q_mil1SVoA9qTumtj73g,1199380,5317,167
minnpost,leftcenter,UCbUbK8izjK3zNRyrIHI39ng,791929,0,227
mint press news,leftcenter,UCc9UUSOBWC6VCkJUqnh-CLw,693963,7745,177
mongabay,leftcenter,UCnrubbmyCz8krGnpsbhJRYg,53953,477,53
montreal gazette,leftcenter,UCiiiXY1ue6nb7iqY8o8f62w,14433906,10578,7647
morning consult,leftcenter,UC5EHIP5gUPEji_zSvHXEzZw,23884,24,6
moscow times,leftcenter,UCRNPdAfK5Mp8ORtjUt3Q8UA,663553,2117,124
mother nature network,leftcenter,UCtI8HXXH9VjFW4l3ejJsNKw,5201949,6932,277
mountain democrat,leftcenter,UC96nGo0ouuVZUomivzogvlQ,11764,19,44
msn,leftcenter,UCSy2GuIv0ve3MlOZ9aUXosQ,383448,4728,67
muncie voice,leftcenter,UCmCanQvIasQ2tByJA7haNoA,5123,7,22
mwc news – media with conscience,leftcenter,UCSLTr7Y4l08j4Q1na5Lva3Q,595,12,3
naked capitalism,leftcenter,UCjJ1AfySH4O0h1PeJirzShA,24768,58,3
national association for the advancement of colored people (naacp),leftcenter,UCrlBZcDWEFRc4y1uR5O-t0Q,916,4,61
national center for transgender equality (ncte),leftcenter,UCpliOXoXgQiKMppCYhbwR9Q,34683,0,27
national monitor,leftcenter,UCv5vbEwaUh0LO6dwVa0iVEw,55882030,70210,5228
national newswatch (canada),leftcenter,UCKjU3KzdbJE1EFcHVqXC3_g,168292095,265161,9532
national observer (canada),leftcenter,UCxBvnCL0amOmZTh2aUe17hw,225231,214,198
national youth rights association,leftcenter,UCYy9PbKSzemtsXsuyu6bp0Q,68564,169,66
natural resources defense council,leftcenter,UCNia_X3a7HLxBSN-z57UGQw,44586993,21721,907
natural resource governance institute,leftcenter,UCZFgJTR57-iJwmNSIy5_sBQ,16208,132,86
nbc news,leftcenter,UCeY0bbntWzzVIaj2z3QigXg,345738690,773925,12624
nc policy watch,leftcenter,UC6eWJH6DJ9e3VbQv0tyAEeQ,983,3,7
ndtv,leftcenter,UCZFMm1mMw0F81Z37aaEzTUA,1132388094,2234429,68831
need 2 know,leftcenter,UCIS-e4W5wK2xG6NbI5Tdm_g,21586523,145235,90
news channel 4 (kfor.com),leftcenter,UCEUYiWFyzpEBMZ3aG7ud7xg,7359463,3946,1361
news.com.au,leftcenter,UCtv2F_ngz0g4ML_lGTB6yog,5220245,0,692
newsday,leftcenter,UCxJHC1EBFZY4V5EiZo_pZbQ,7545456,11240,569
news deeply,leftcenter,UCbeoHh46tqvrUusRrI5wQXQ,204092,314,67
newgru,leftcenter,UCuINrX10tqoeNVLzdHdFKxw,808,10,43
newser,leftcenter,UC3AFrGwm_CeTgFrazAHtfkg,0,0,0
newsone,leftcenter,UC9oI0Du20oMOlzsLDTQGfug,152177881,189981,54010
newsweek,leftcenter,UC2a35q7eyzkfoIusBzdH4Hw,15207061,11663,1500
newsy,leftcenter,UCTln5ss6h6L_xNfMeujfPbg,59545576,80035,17023
new europe,leftcenter,UC7FwgvmNdQC_3KJhew7cfNQ,252201,0,68
new matilda,leftcenter,UCTVV2EzPF3XxHbGrvNWNIew,363301,494,57
new moderate,leftcenter,UClqjjSsfP54kYDxk44jBoLw,0,12,0
new york daily news,leftcenter,UCx-h2AWPCBJEqzH9HXe2ZIA,138663980,101796,11604
news and guts,leftcenter,UCImUn-G_rzOyjKoE498bjDg,45227,398,26
npr,leftcenter,UC4eYXhJI4-7wSWc8UNRwD4A,435917357,1702401,1417
new york times,leftcenter,UCqnbDFdCpuN8CMEg0VuEBqA,590491394,1381383,9229
oc weekly,leftcenter,UCAh7K1JJ_3nqgCQyHpfUpXQ,1180199,570,100
odyssey online,leftcenter,UC7ZLcAfhim5cm1na-rgSANg,1408,7,75
oil and water don’t mix,leftcenter,UCMY1ixGQfZeS06KQENCpXtA,11627,73,52
opendemocracy,leftcenter,UCKTPks8QcY-i8l7YeW5OdjA,184587,1905,256
oneindia,leftcenter,UCOjgc1p2hJ4GZi6pQQoXWYQ,637820651,1809299,26018
outside the beltway,leftcenter,UC6ndjk4raABgQnzcApMLgWA,265,5,7
ozy media,leftcenter,UC4GS0bZvrPeEHXhea5i8GCw,323,18,1
pacific standard magazine,leftcenter,UCex4lePqxGTCyr1rgKGf_MQ,89811,0,9
panam post,leftcenter,UC-tE6zWn-8KB73fmtLc-6zw,1107530,6415,982
patriotic millionaires,leftcenter,UC0uEHrdcSSo6mloXnPs9ycA,6279616,7457,83
pbs news hour,leftcenter,UC6ZFN9Tx6xh-skXCuRHCDpQ,389894484,758658,21691
philadelphia inquirer,leftcenter,UC8qfIIxRUBEBcEVnqEsLcDw,4282828,4225,542
philippine daily inquirer,leftcenter,UCvRAX-ujvZ0eTMLGG2vki9w,93213016,105195,9162
phoenix new times,leftcenter,UCSYSGpdAqzFYUntWQ2AhDmg,38991,84,39
pittsburgh post-gazette,leftcenter,UCdpmO_iQcng0wJPKzlPEnbg,2677767,2203,619
pluralist,leftcenter,UC7C9Uamms1IKLUdDV2-tQrw,102,0,2
political critique,leftcenter,UC0Hkoqj5P0tiOJJHOx0Yg7Q,2107,1,3
politico,leftcenter,UCxsGlhpBeagVHVz-7swTyNQ,595621,4384,94
politics that work,leftcenter,UC64ejZ2GdKn9r3b04S7Acjg,12,0,1
population connection,leftcenter,UClGtv8QBGX05Q8s8a83Xpmg,391394,330,9
portland press-herald,leftcenter,UC0sPBv78fAj46b_AaU159qQ,2695177,1455,1793
positive news,leftcenter,UC9zf4B7EYlNaJqsmnw7pcuA,57349,474,244
press tv,leftcenter,UCaFxVc4xHOea6s5CO0eBxIA,121970284,195448,51350
propublica,leftcenter,UCtCL58_DaVdVRmev3yHK7pg,12899125,15500,143
prospect magazine,leftcenter,UC0R0N538mji8FUlyE8JZmug,45496,263,13
providence journal,leftcenter,UC4LtLbQFqaCDSEQAMuwC2dw,6580412,5435,2312
public citizen,leftcenter,UCZnQ-RftK89U204SBhXLXZA,294091,1551,213
quartz,leftcenter,UCeU_KibWq-DrynnONK_qDtQ,68005548,198388,378
radio free asia,leftcenter,UCirnBv9qGKCJYZSaWmYGFaQ,8574366,12570,1188
raleigh news & observer,leftcenter,UCASQzDb4SUC0gZNPbwBubIQ,9254029,0,1562
rationalwiki,leftcenter,UC0aanx5rpr7D1M7KCFYzrLQ,63473890,1009922,61
real news network,leftcenter,UCrmm_7RDZJeQzq2-wvmjueg,83997212,237352,11474
religion news service,leftcenter,UCaWNn4aFJSqZW9FlN2YJP9g,172676,260,115
republic world,leftcenter,UCwqusr8YDwM-3mEYTDeJHzw,119018225,540698,9798
reveal – center for investigative journalism,leftcenter,UCLLQ5nL0A1h_RQabl_fO2jg,55,3,4
roanoke times,leftcenter,UCVuU6CezHTOpADgcLZ-tZhw,164901,205,73
rolling stone,leftcenter,UC-JblcinswY50lrUdSaRNEg,101641688,286403,1538
roosevelt institute,leftcenter,UClPtlKnkycnLKsWO-WcQMrw,56935,607,109
rudaw,leftcenter,UCAUHoE2Ykw0sguyi5AjhrjQ,5391213,19125,4154
sacramento bee,leftcenter,UCosNuCC96Oicg_3CqBCfuRg,7465630,6167,2555
salt lake tribune,leftcenter,UCZj3_eWQ4f4oHm_x-wsxG7Q,42240380,18769,3998
san antonio express-news,leftcenter,UCAooFMshgmN8IX5yIcO5k-g,13450,92,22
san diego free press,leftcenter,UC_ZSd-86B9-8vnBm-cv7dcw,18317,48,12
san francisco chronicle,leftcenter,UCHNRIjq2A7x5_rF8LtkXdsg,1724101,2579,331
san francisco examiner,leftcenter,UCYxyGYxbYpOa7UMx2ZWzpxQ,494543,533,78
san francisco globe,leftcenter,UCeFBQmxaVN-grC9sFmz5ucA,65655955,130449,40
san jose mercury news,leftcenter,UCKpv0aXnKBkiU5uiEWAdpgg,15276055,14576,6982
santa barbara independent,leftcenter,UCUbGkZ1ZPtMftbVLyIE_73A,36869,59,60
santa fe new mexican,leftcenter,UCEujQYrKBJWd1UB-eQHASRQ,2472303,1937,632
saudi gazette,leftcenter,UC533uSPWSFXF_JmbknAtmOw,283375,1191,86
scoopwhoop,leftcenter,UCx2HcmpB-UZGkMXOCJ4QIVA,167773977,1235500,470
scroll.in,leftcenter,UCl8zB2LZOiLLV0jYUMpTEgA,7362650,104294,442
seattle post-intelligencer,leftcenter,UCYN-4yn_iOnbmCi5frn5WEA,2949,11,7
seattle times,leftcenter,UCqC9wT9TI5Va0yWG77-q3IA,10548236,11333,1736
second nexus,leftcenter,UCz6PWAVclhxIDW7-Xc5hJqQ,1761,8,3
sentencing project,leftcenter,UCWLMCVr5NPp6k8SGqlybG2A,7040,131,23
sfgate,leftcenter,UCUPLre1l3r9Y17BE55KuUTA,590862,486,422
shame project,leftcenter,UCWF_ms9bI5MqFV1VCPHN53g,15,0,1
sky news,leftcenter,UCoMdktPbSTixAyNGwb-UYkQ,312007613,801913,9240
sootoday.com,leftcenter,UCNS7yNxyb0vK5EwJ_Yi4hTQ,4332990,1088,1037
southern poverty law center,leftcenter,UCJqloayL-p1TP4Ed_fr53CA,2011306,0,111
special broadcasting service (sbs),leftcenter,UC5Bp1BTxafblHL7ZoepDBNA,0,25,0
spiegel online,leftcenter,UC1w6pNGiiLdZgyNpXUnA4Zw,304719115,341849,6519
star-ledger,leftcenter,UCUUWDzrkuEztzddaW_sgQbA,138358414,88038,20162
staten island advance,leftcenter,UC1KF4bZvT5iAbAHVv4MuNxg,17169938,11405,5441
stepfeed,leftcenter,UC9ep5vRJO7wOkk4WULuNrdQ,29,3,1
st. louis post-dispatch,leftcenter,UCpuP7nSKi6r0VjzxG4DYWpQ,2693456,1720,666
stocks news daily,leftcenter,UC8Jc66lwfOT1CeXaEy3zEMw,9947462,10892,6931
stopfake,leftcenter,UC_Llc7QJtgj6diQoJIVNxgw,725882,28281,12
st. paul pioneer press,leftcenter,UCLKVY6H6OlG4lZoxGXiX12w,4224592,1737,9489
swi – swissinfo.ch,leftcenter,UCZYXcK-UofeL-gcCbe5iP8Q,2903910,6088,641
tablet magazine,leftcenter,UCGwI_qNLUjZrJHUkBruaY4w,297,0,1
tax justice network,leftcenter,UCxNaMPRdgg9CKtfR19FIbhA,122295,0,211
techcrunch,leftcenter,UCCjyq_K1Xwfg8Lndy7lKMpA,112132995,369275,7910
texas monthly,leftcenter,UCT3b93yqcWh2cYAdJlRoGLg,883724,943,54
the sun magazine,leftcenter,UCIzXayRP7-P0ANpq-nD-h5g,21302742,25001,625
tampa bay times,leftcenter,UCGxjkKvKHq_NcX_UKdDjfOw,2619718,1175,2884
the automatic earth,leftcenter,UCvLz8YwJa0xzRNwyzaCY7QQ,35,0,1
the budapest beacon,leftcenter,UCefvFuMjpzIj95FlED6OfsQ,70672,0,52
the century foundation,leftcenter,UCn_FKi7WrR44IslAtjTwR0g,65647,480,77
the christian left,leftcenter,UCx19oBmf27iWEyQoOD9p0MQ,33021,355,80
the council of canadians,leftcenter,UCEm2QhhWO5sND7D15iHCIPA,227319,870,242
the courier-journal,leftcenter,UCf_6xXbjMOeQQ5HWebtcccg,630816,700,741
the daily climate,leftcenter,UCdyHw5txYPogwDSzDmZ_2Tg,67,9,2
the daily tarheel,leftcenter,UClliVrs2BB0KcOB2XfwQvYg,1936216,1372,441
the economic times,leftcenter,UCJFOER35ggIWwsXh2ZDnqyg,8169697,45161,4437
the european council on foreign relations (ecfr),leftcenter,UCmKoO4H1Z5FUKlIU_IEGCfg,92,18,1
the fifth column,leftcenter,UCYcr5ute99R-M86rfVyUUyQ,39980,652,48
the forward,leftcenter,UCtsqiJ1WTJkoj4c_SZkyBMg,2997508,0,102
the globe and mail (toronto),leftcenter,UCsZYUb8C_19bWOCKF9jRwSg,30067985,38928,3219
the guardian,leftcenter,UCHpw8xwDNhU9gdohEcJu4aA,235358942,607762,6473
the herald (everett),leftcenter,UCtF3fPVk5-TqZyY451GZqSg,1354639,580,340
the hill,leftcenter,UCPWXiRWZ29zrxPFIQT7eHSA,2806241,2833,198
the hindu,leftcenter,UC3njZ48-FDxLleBYaP0SZIg,11227094,65623,1447
the independent,leftcenter,UCshwRhftzkiov5wKR7M_LsQ,4358346,15754,379
the intercept,leftcenter,UCv002AUCZaPNwiADqwchijg,1748702,38222,76
the interpreter (magazine),leftcenter,UCoqcijvyfh5rnIPM-_shAJQ,237313,3927,7
the irish times,leftcenter,UCNNnna72yOMxXU4n9Fg1Agg,2820059,2896,964
the irrawaddy,leftcenter,UCgEI7TvwuNGVGpd1M0icWJQ,14730212,21811,2271
the jerusalem report,leftcenter,UCBdZ8rd73f5bkeB5D5vkmjg,8,0,1
the journal news,leftcenter,UCgtWaqRWln2Mg_2DKXIKtJA,29053,200,92
the korea times,leftcenter,UCcr0MiV6Eoi6ar9Uqq_Ew2g,3838,7,3
the monthly (australia),leftcenter,UC_fb0L96kUGYt1AL1qO155Q,2036453,5582,1296
the nation institute,leftcenter,UCVXBnfNUiGKzHV7OoFf8Bvw,771757,8081,601
the new arab,leftcenter,UCPcM2g-RJFHrCL5cIZaVySg,253370,0,160
the news-times (danbury),leftcenter,UCEouBMwIA_YFLmqaOOeRSPg,4762,0,21
the news tribune,leftcenter,UC2CMVhcb4-BYjdK23O5cwYA,11342787,7012,5027
the new tropic,leftcenter,UCO3wP4eS2pdTWYk3hu5Lgww,1331,2,1
the observer,leftcenter,UC5m13uFJ2KadAe6LSkNAi4g,1792438,7981,632
the olympian,leftcenter,UC4E060sRvClagErOdYZZjVA,5824215,75411,5
the oslo times,leftcenter,UCP3Z1SPx5jeBIe3rFVY-o1A,168,5,1
the patriot-news,leftcenter,UCYa4_rrO7PcVAe2Bw4kM-2w,225739,3335,13
the press democrat,leftcenter,UCCkiOVS6uGicMDnBzdteosw,9082329,4006,2383
the pulse,leftcenter,UCXmPr8PygD9HTITbAPhDrAA,18928,678,51
the ringer,leftcenter,UCT83YP07yVuaH9J19YABhlw,11814868,56577,1025
the saturday paper,leftcenter,UC2T75Y8NVIVUkI9FJDShfgQ,34,0,1
the state,leftcenter,UCr15Bkxv275tmTDq6SvB7MA,2846969,9464,1223
the sydney morning herald,leftcenter,UCi-nUi67HVFEtpaFsjRj_NA,5963935,7295,499
the tab,leftcenter,UCi_SLJmfg4Qtt6eyneDCR0g,3304764,1251,284
the trace,leftcenter,UCoXWqBFoKFrY0PLSbBj_Nzw,20885,216,206
the varsity,leftcenter,UCH5nqMNhBrWgkHZf3Sfqhww,207229,0,129
the verge,leftcenter,UCddiUEpeqJcYeBxX1IVBKvQ,542306114,2026929,3551
the virginian pilot,leftcenter,UC65jmwvHLoCMBJXnzHrGwiA,14155182,6067,2559
the week,leftcenter,UCS1yBBc7q1TnP_l1-BJxAWQ,4033257,8252,545
the wilderness society,leftcenter,UCQLpmdgt6iTQGMExcWe9i1A,70704,0,22
the wire – india,leftcenter,UChWtJey46brNr7qHQpN6KLQ,73228588,618364,1797
the zero hour,leftcenter,UCcnNWp-tx3-FaCWV4pMFTAg,931342,0,3150
thomson reuters foundation,leftcenter,UCcUmt6A2QhQ7JTyqhjNQ67A,4299257,0,1061
time,leftcenter,UC8Su5vZCXWRag13H53zWVwA,198868148,430646,5325
times-colonist,leftcenter,UCUDEJQtFKt6-A94NWG8iW9Q,1205012,243,307
times headline,leftcenter,UCJd3MyWFy4f3sIOeycp4UdA,310697,0,362
times of israel,leftcenter,UCKM3VQFIITaRegPDkLlLeKA,5618195,4672,1473
times-picayune,leftcenter,UC5Y52fCWFDJh-4wkgSH4wDQ,43874805,35182,17592
timeline,leftcenter,UC88lvyJe7aHZmcvzvubDFRg,53542507,430264,299
to inform is to influence,leftcenter,UCoooV8TQKY3Llh_Llcp9Asg,244244,2329,395
toronto star,leftcenter,UCWE58e_BbmBgE8h-oskutQA,28859069,23675,4259
unicorn riot,leftcenter,UCeHbMlHDec5NmJfiQXMYGXQ,348428,3809,178
united federation of teachers (uft),leftcenter,UCx5lhPE-8sPBWMrWwwI_yxQ,105895,242,370
university business,leftcenter,UCtTl-3zAWIkEb-WmI9a8ITQ,656098,5432,275
urban institute,leftcenter,UCiODGs5uF-ZdoLTrRXlkv7g,275426,1171,159
us news world report,leftcenter,UCz6ByNrnSVKTyxRV3Y9Rf7Q,7328444,5186,426
usa today,leftcenter,UCP6HGa63sBC7-KHtkme-p-g,800925984,673545,19665
utah public radio (upr),leftcenter,UCq_BAhmagzGe08kXUyCKq7w,2134,6,10
vancouver sun,leftcenter,UCZ1-u3qX7AUUPzH9O_Peb-Q,4915964,3751,8058
vice news,leftcenter,UCZaT_X_mc0BI-djXOlfhqWQ,803368897,3224352,3210
votevets.org,leftcenter,UCGwmBKmMT_ShATCfnFm3egw,2735213,1721,342
vulture,leftcenter,UCG-cY3xD3S-oEkdM_5xHMxw,1269663,2453,165
wall street on parade,leftcenter,UCfrMaiQ4EbTZffWfOvJvWKg,14170,46,2
washington blade,leftcenter,UCKp-y6icZ1dK7uugzw0toqA,659667,698,100
washington post,leftcenter,UCHd62-u_v4DvJ8TCFtpi4GA,214165146,377566,10461
wgn news,leftcenter,UCDrLGkZTcNCshOLiKi5NtEw,99921049,33153,1191
windsor star,leftcenter,UCOXbUmGfpr_rb_UeqROTwkg,4820274,3309,17320
wings over scotland,leftcenter,UC8lpL02laIrnMRW19hK7JTQ,3979597,3044,415
wired magazine,leftcenter,UCftwRNsjfRo08xYE31tkiyw,658517737,2386328,2708
wnyc,leftcenter,UCbysmY4hyViQAAYEzOR-uCQ,40512286,59790,2595
world affairs journal,leftcenter,UCBcqpKo9jqETiNd-FwyALoA,12807,259,189
worldcrunch,leftcenter,UCBa4uOeHLcnFBZJ66AA-OfA,276433,319,487
world policy institute,leftcenter,UC1Ayxnl2yVU-BKadbR31HQA,5393,62,16
yahoo news,leftcenter,UCF7hznHog_lCTbwxjj1jrPg,60751535,124993,2847
ynetnews,leftcenter,UClf2BlzWGec6lTjMa-E0q6Q,9,3,1
york daily record,leftcenter,UCt7PYZV66BdJkoAUtgnRKFw,2065240,1410,4233
youth radio,leftcenter,UCLCZYqqopva7k-4PIVpL7Mw,4188986,5557,783
680 news,center,UCH5U-fa5wNK2xNlIyBfMe4A,487718,812,6191
abc news australia,center,UCVgO39Bk5sMo66-6o6Spn6Q,193667568,278723,52505
abs-cbn news,center,UCE2606prvXQc_noEqKxVJXA,3229667988,4227574,76545
afp (agence france presse),center,UCckz6n8QccTd6K_xdwKqa0A,206171379,212217,78681
africa news,center,UC1_E8NeF5QHY2dtdLRBCCLA,15061386,49052,9603
agerpres,center,UCfnP_igK3BPLst-QTmIh0Wg,5291452,9739,5455
ahram online,center,UCpmb6WQxskw3dnoLqrXDUGQ,1283764,2665,420
airwars,center,UCoczcZukdKI50tNg5BDisKQ,19745,120,238
al arabiya,center,UCahpxixMCwoANAftn6IxkTg,1339724521,2652462,49862
al bawaba,center,UCis418Nkm2pIdjqSlJ2Fazg,9817,68,10
al majalla,center,UC6E13U6cZmwpfGVwBgC4isQ,605793032,3013868,722
alabama political reporter,center,UCsCo__V-uX9-yB0nhTni4Tg,200997,625,305
alabama today,center,UC0ZEfs4W2MBh_4Vzp8tDYdw,3054,2,15
albuquerque journal,center,UClfbSj-gmJ5J02lAbMYAFkQ,1640954,1131,580
alliance for securing democracy,center,UCHdoG5SlbW8iTYoYhHXf-JQ,60,6,1
american heritage,center,UCIRtpbQ0K9JJjd7CzggmMRA,4261,44,14
amnesty international,center,UCREPamP892LJnJfJNWYKfPQ,14925085,55286,815
anthropocene magazine,center,UC-QY9bKrNYUzBZgaoedB1gA,9628,98,13
aptn national news,center,UCA-IcIBtmwCirNr1f-n_SRA,508797,2034,1145
arizona capitol times,center,UCzeNPYfliJflsDgROulDMow,2864,7,5
asia news international (ani),center,UCoRpKmC6a-DdEa1ohxlCgUA,27893232,72262,32173
asia times,center,UCVsPa33ZsRPPqXPxpiK54vw,270665,618,353
asharq al-awsat,center,UCIMti8J7qYjICcr_a39-ocg,3772099,11626,372
associated press,center,UC52X5wxOL_s5yw0dQk7NtgA,1996018328,886191,118447
atlantic council,center,UCw0y9zO1RXI6uEzoKbbnxTQ,2073972,16201,1862
australian financial review,center,UCML-IRb2g66A44iK1y_OLeQ,26722,416,42
ballotpedia,center,UC0u04Fuq2qLUmYK12rVXFfQ,169805,197,76
bangkok post,center,UCFMq2QR09VraTUAi_hsx-xw,500777,1581,54
battlefords news-optimist,center,UCaLZNeocoLlwmF0DvD58fgA,36,0,1
bbarta24,center,UCERoT4bNWPtOCG7QoE_LbjA,10855,60,64
belfer center for science and international affairs,center,UCajgcgjxXLZ_z817H5JnOzQ,1393513,12403,515
bellingcat,center,UCFl-GzKYeCW3iWjnQDuxzAA,427968,1047,73
better government association,center,UC5O_4r7qIR0wJqDWGwArwrQ,273570,270,171
bdnews24,center,UCjFMRqrsABGBh-6eFUlMuAA,9287230,17954,2958
big news network,center,UCLoNQH9RCndfUGOb2f7E1Ew,664891337,656743,18526
big think,center,UCvQECJukTDE2i6aCoMnS-Vg,268571789,2343188,10725
bismarck tribune,center,UCnePasizvSwS4wL806z1HPQ,368635,239,571
bno news,center,UCOwAf0r6kIOj8783xDye2pQ,23284137,13380,1372
bridge magazine,center,UCg0JPHqVXKzGU-yWvSXhBPA,21,0,1
brief.news,center,UC16niRr50-MSBwiO3YDb3RA,808597227,2856108,8678
bulletin of the atomic scientists,center,UCaeUKy8bDzOu2DH5c006NbQ,19292,863,11
bullshido,center,UCiSkNsw3bNy4giTaryDi7DA,320655,1947,11
burnett county sentinel,center,UCUPRlmqBO9b1n-W0t6y6ITQ,486,320,4
business 2 community,center,UCXar0zDq7oxsXVI2QlS4tUQ,257,28,1
canadian public affairs channel (cpac),center,UCFZSV_So_OaXgXVzgu58tJQ,1879423,4185,1446
cape cod times,center,UCuDpxakayVL_Ge8JWQUgHYg,7376361,3980,2283
capitol fax,center,UCkkxXuhA7gTd82-e_WwE8nA,509,1,151
carnegie endowment for international peace,center,UCDeDd29TrRzAkSKXBCtGhxA,566148,7197,685
casper star-tribune,center,UCMpLHTtHhwgX6mUasWnMT1A,388644,182,443
castanet,center,UCfEflJTjF2hq0IbfkSWGRkg,30596722,11309,9113
center for democracy and technology (cdt),center,UCSwjPYZk6nRieQMWISwcS3Q,72965,302,97
center for global development,center,UCWC4mmS_a-0K6JX6QX0hL8w,463220,3342,710
center for inquiry,center,UCp7LPFmh6pyFpWQY6htER3A,3526859,15256,337
center for a new american security,center,UCoooV8TQKY3Llh_Llcp9Asg,244244,2329,395
center for public integrity,center,UC15_VPYQCnOZU4crj7g8aIA,417699,1334,103
center for strategic and international studies,center,UCr5jq6MC_VCe1c5ciIZtk_w,6100880,55512,3981
china daily,center,UCahujLjSL34EPNxtwKRi_vg,2618932,3981,505
china global television network (cgtn),center,UCgrNz-aDmcr2uuto8_DL2jg,451812008,449211,55405
christian science monitor,center,UCTdvpZLANeVfpckUBQD7lCQ,1001546,5082,622
committee for economic development,center,UCp9-Nl5BxUkSwJnW8fAz3DQ,154482,261,493
committee for a responsible federal budget,center,UCiP0W9Jvwr8QwPTRjapEfHg,37725,173,85
committee to protect journalists,center,UCJ6Fa7MQH9-3yBFwYUZRJMQ,239861,1056,197
concord monitor,center,UCpIIsfqRWz9MwJe3lX4z5pQ,464602,491,320
conflict news,center,UCkbErV5gf2Cm-VijPgV-FRw,59376,194,76
congress.gov,center,UCbObxjfi3W9YKnDS0PgadNA,22224073,86095,3969
congressional budget office (cbo),center,UCYDAVKPWIe3O1lH-GTTwnGw,10939,324,42
consortium news,center,UCDZuNFwJ4BIRV_Z5IxFXVrA,10007,528,8
constitution daily,center,UCVyiBIC5QzQGRrMdEY1tAzQ,1069,12,14
constitution project,center,UCndD9tb2oz-JBDKFs1flKsQ,23055,141,116
consumerist,center,UC2DYZIou2ZN-stBPv3aks6Q,356611231,246187,514
consumer reports,center,UCOClvgLYa7g75eIaTdwj_vg,118937859,263509,2278
cook political report,center,UC67lsokEy7oTi2aYT3alBkw,43,2,2
countable news,center,UCEvlaFEvZOgTfNnz1z4PCGA,245684,1240,155
courthouse news service,center,UCD8gmbqlT18TE_i2QXUdbLw,30171,33,45
cp24,center,UCs3o4RhBiP2wcwqkZR2QVLw,28706,0,16
c-span,center,UCb--64Gl51jIEVE-GLDAVTg,189423062,221630,6512
daily business review,center,UCvO3qki-ML0_pN5F_qgRjFw,11908804,21181,8037
daily journal (illinois),center,UCktr0q0-NHhCRzqmeEGF2Og,3630,11,36
daily journal (missouri),center,UCeA2wSnY3PeMf-kSHaZjg0g,1495,30,9
daily record,center,UC0eRewZDcML9NINHpoZ175w,2452520,2597,1975
darien times,center,UC7NjMEkxIb-PfxVeJS_bw7Q,362,13,4
defense one,center,UC5g04B7xfIZx7es_4VCj_sw,186813,0,67
des moines register,center,UCvSD6lYlbNdrZ9GFcZo6llg,9194348,4165,4740
digital journal,center,UCileb8bD9mV5M9S3zvr2e5A,137,0,3
doctors without borders,center,UC4oxZI46DHqBxVogf_T256Q,5340228,17795,1494
dpa german press agency,center,UCBVLXZcNrYnsAyNoatn9r_A,22392,15,24
eagle tribune,center,UC5gpJCTvn_QDB-vRC_399Mg,6047992,1675,2089
earth institute,center,UCr51KMSVvRICQNdsg9otmJA,1205767,2380,577
ej insight,center,UCoRzopwaVUvkaJ3CX9dlQig,6929,11,9
elko daily free press,center,UCHQ156PowB3ur5vLR_KM9OA,144944,124,220
err news (estonia public broadcasting),center,UCm_nC5tCINsywP85RJJ6jiQ,360,18,1
eurasia group,center,UCAbvdK-BSH7rXRiHouRACLg,91621,1710,93
eurasia review,center,UCmHL2CjQNTh89WpMrnDAWAQ,26067,165,25
euronews,center,UCSrZ3UV4jOidv8ppoVuvW9Q,445701745,518972,62150
factcheck.org,center,UCc_VNUgjPdpaQdoHRVcCRYQ,1709865,2095,1198
factscan,center,UCqY8z97Rf4IGPq_YK5QjxRA,67,7,1
factwire news agency,center,UC5JpcU7ZNpkvYEw8VGF08_A,135113,736,261
fair observer,center,UC0u96nGnEX5liM9S3vkN9YQ,2843,56,21
federal times,center,UC3Xsk2V_ohGhRn-9--GUGaw,2967,49,36
financial express,center,UCmk6ZFMy1CT80orXca4tKew,3474948,13568,931
financial times,center,UCoUxsWakJucWg46KW5RsvPw,39813926,200428,8842
first draft news,center,UC0TIBS0JDWs3XPjVjcVPdEg,66573,567,81
foreign affairs,center,UCCInRC_-mCbDo0XvLArVV3Q,1156763,18640,176
foreign policy,center,UCL_A4jkwvKuMyToAPy3FQKQ,13472336,69539,2072
full fact (uk),center,UCfEoP_mHXFmFJTTDKX2vhDg,49450,327,66
gallup,center,UCkWMQ63JYyP5mbTJ1obdr4Q,2226555,17627,1030
gears of biz,center,UChwVpRZl-K4XONtK5ftAx_Q,2216,4,38
gbtimes,center,UC7i1ssDCPAcQ_qDi7o0JKtg,4192784,6909,1026
