videoId, media, bias, youtube_channel, viewCount, subscribersCount, videoCount
TUpcjYl5Hik,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
2ZNI2d29eXM,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
o3ieRMHzaMs,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
16aUHRzqA0w,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
6OWkYo6AAqs,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
4RzERfY0XQI,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
NNp-BJjEE0Q,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
w7d1EXVwjO4,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
aAeTgHnJ1z4,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
75zDYD_0pbo,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
SAY4z3aMf44,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
14ae1q1zop0,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
ldteo-HPdYU,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
TPBARWsu5FM,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
F7y1UdDNfYw,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
MJ0yDwVHBTk,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
fvxdXkpDg6U,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
ZrcJEQtj06E,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
-j_RJFmIh-I,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
VmBTd_kLXTs,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
r4LuwCRO_Sk,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
